T (°C),ΔT (K),ΔL (0.001 in),ΔL (m),ΔL (mm)
27,2.0,1,2.54e-05,0.025400000000000002
27,2.0,2,5.08e-05,0.050800000000000005
28,3.0,3,7.620000000000001e-05,0.0762
28,3.0,4,0.0001016,0.10160000000000001
29,4.0,5,0.000127,0.127
29,4.0,6,0.00015240000000000002,0.1524
30,5.0,7,0.0001778,0.1778
31,6.0,8,0.0002032,0.20320000000000002
32,7.0,9,0.0002286,0.2286
33,8.0,10,0.000254,0.254
35,10.0,11,0.0002794,0.27940000000000004
35,10.0,12,0.00030480000000000004,0.3048
37,12.0,13,0.0003302,0.3302
39,14.0,14,0.0003556,0.3556
39,14.0,15,0.000381,0.381
40,15.0,16,0.0004064,0.40640000000000004
41,16.0,17,0.00043180000000000003,0.4318
43,18.0,18,0.0004572,0.4572
44,19.0,19,0.0004826,0.48260000000000003
46,21.0,20,0.000508,0.508
48,23.0,21,0.0005334000000000001,0.5334000000000001
50,25.0,22,0.0005588,0.5588000000000001
51,26.0,23,0.0005842,0.5842
53,28.0,24,0.0006096000000000001,0.6096
55,30.0,25,0.000635,0.635
57,32.0,26,0.0006604,0.6604
59,34.0,27,0.0006858,0.6858
61,36.0,28,0.0007112,0.7112
64,39.0,29,0.0007366,0.7366
67,42.0,30,0.000762,0.762
71,46.0,31,0.0007874000000000001,0.7874000000000001
74,49.0,32,0.0008128,0.8128000000000001
76,51.0,33,0.0008382,0.8382
78,53.0,34,0.0008636000000000001,0.8636
80,55.0,35,0.000889,0.889
82,57.0,36,0.0009144,0.9144
84,59.0,37,0.0009398000000000001,0.9398000000000001
